player,total_runs,total_matches,total_balls_faced,total_fours,total_sixes,total_dismissed,avg_runs,highest_score,lowest_score,not_out_rate,duck_count,duck_rate,consistency_score,innings_above_30,innings_above_50,innings_above_30_pct,innings_above_50_pct,strike_rate,boundary_rate,six_rate,four_rate,boundary_runs_pct,dot_ball_rate,pp_runs,mid_runs,death_runs,pp_balls_faced,mid_balls_faced,death_balls_faced,pp_runs_pct,mid_runs_pct,death_runs_pct,pp_strike_rate,mid_strike_rate,death_strike_rate,dominant_phase,avg_runs_in_wins,avg_runs_in_losses,balls_faced_per_match,sample_reliability_score,team,season_start_year,avg_position,median_position,highest_position,lowest_position,typical_position,position_role,batting_role,eligible_for_model,ml_suitability_score
MS Akhil,9,1,4,2,0,0,9.0,9,9,1.0,0,0.0,0.0,0,0,0.0,0.0,225.0,0.5,0.0,0.5,0.889,0.25,0,0,9,0,0,4,0.0,0.0,1.0,,,225.0,death,,9.0,4.0,0.079,Kerala,2021,6.0,6.0,6,6,6,middle_order,middle_order,False,53.721693340664835
MS Bhandage,91,5,65,5,6,4,18.2,25,7,0.2,0,0.0,7.95,0,0,0.0,0.0,140.0,0.169,0.092,0.077,0.615,0.308,0,40,51,0,31,34,0.0,0.44,0.56,,129.03,150.0,death,16.0,19.67,13.0,0.583,Karnataka,2023,6.4,6.0,6,7,6,middle_order,finisher,True,63.9174498209166
MS Gony,84,9,59,5,5,8,9.33,18,1,0.111,0,0.0,6.82,0,0,0.0,0.0,142.37,0.169,0.085,0.085,0.595,0.373,0,3,81,0,8,51,0.0,0.036,0.964,,37.5,158.82,death,7.75,10.6,6.56,0.746,Punjab,2018,7.7,8.0,6,9,8,lower_order,tailender,True,64.34509722653881
MS Hooda,142,4,148,8,2,4,35.5,65,15,0.0,0,0.0,21.83,2,1,0.5,0.25,95.95,0.068,0.014,0.054,0.31,0.338,18,83,41,27,90,31,0.127,0.585,0.289,66.67,92.22,132.26,death,38.0,34.67,37.0,0.75,Haryana,2015,3.75,3.0,3,6,3,top_order,top_order_anchor,True,60.55398198054355
MS Redkar,1,1,1,0,0,0,1.0,1,1,1.0,0,0.0,0.0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0.0,0.0,1.0,,,100.0,death,,1.0,1.0,0.067,Goa,2023,8.0,8.0,8,8,8,lower_order,tailender,False,41.51740200857325
MSR Charan,0,1,2,0,0,1,0.0,0,0,0.0,1,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0,0,0,2,0,0,,,,0.0,,,unknown,,0.0,2.0,0.071,Hyderabad (India),2022,3.0,3.0,3,3,3,top_order,middle_order,False,19.77308301540045
MSS Hussain,6,1,4,1,0,1,6.0,6,6,0.0,0,0.0,0.0,0,0,0.0,0.0,150.0,0.25,0.0,0.25,0.667,0.25,0,0,6,0,0,4,0.0,0.0,1.0,,,150.0,death,,6.0,4.0,0.079,Chhattisgarh,2020,9.0,9.0,9,9,9,tailender,tailender,False,68.48417414112161
MV Pithiya,12,2,4,1,1,0,6.0,6,6,1.0,0,0.0,0.0,0,0,0.0,0.0,300.0,0.5,0.25,0.25,0.833,0.0,0,0,12,0,0,4,0.0,0.0,1.0,,,300.0,death,6.0,6.0,2.0,0.142,Baroda,2024,9.0,9.0,9,9,9,tailender,tailender,False,64.37512947434575
Madhav Avsh,2,1,9,0,0,0,2.0,2,2,1.0,0,0.0,0.0,0,0,0.0,0.0,22.22,0.0,0.0,0.0,0.0,0.778,0,0,2,0,0,9,0.0,0.0,1.0,,,22.22,death,,2.0,9.0,0.1,Arunachal Pradesh,2018,6.0,6.0,6,6,6,middle_order,middle_order,False,0.9169589325783635
Madhav Kaushik,67,4,62,8,2,4,16.75,24,9,0.0,0,0.0,6.95,0,0,0.0,0.0,108.06,0.161,0.032,0.129,0.657,0.5,56,11,0,51,11,0,0.836,0.164,0.0,109.8,100.0,,powerplay,24.0,14.33,15.5,0.508,Uttar Pradesh,2021,1.5,1.5,1,2,1,opener,anchor_opener,True,28.292471720749298
Manan Sharma,21,2,16,1,1,1,10.5,19,2,0.5,0,0.0,12.02,0,0,0.0,0.0,131.25,0.125,0.062,0.062,0.476,0.25,0,1,20,0,1,15,0.0,0.048,0.952,,100.0,133.33,death,2.0,19.0,8.0,0.192,Delhi,2015,8.5,8.5,8,9,8,lower_order,tailender,False,78.29900901915701
Mandeep Singh,1124,37,776,112,37,26,30.38,99,0,0.297,2,0.054,27.97,17,9,0.459,0.243,144.85,0.192,0.048,0.144,0.596,0.289,356,479,289,265,358,153,0.317,0.426,0.257,134.34,133.8,188.89,death,30.05,30.76,20.97,1.0,Punjab,2023,3.631578947368421,3.0,1,7,3,top_order,top_order_anchor,True,93.4098480508181
Mandup Bhutia,40,9,57,4,1,8,4.44,19,0,0.111,2,0.222,6.44,0,0,0.0,0.0,70.18,0.088,0.018,0.07,0.55,0.614,0,5,35,0,14,43,0.0,0.125,0.875,,35.71,81.4,death,,4.44,6.33,0.738,Sikkim,2021,7.444444444444445,8.0,5,9,8,lower_order,tailender,True,1.094055698340966
Mangal Mahrour,342,17,346,33,9,15,20.12,64,0,0.118,2,0.118,21.16,5,3,0.294,0.176,98.84,0.121,0.026,0.095,0.544,0.471,131,133,78,168,130,48,0.383,0.389,0.228,77.98,102.31,162.5,death,20.88,19.44,20.35,1.0,Bihar,2022,1.9411764705882353,1.0,1,5,1,opener,anchor_opener,True,55.426974713206114
Manik Beri,17,1,18,1,1,1,17.0,17,17,0.0,0,0.0,0.0,0,0,0.0,0.0,94.44,0.111,0.056,0.056,0.588,0.5,5,12,0,4,14,0,0.294,0.706,0.0,125.0,85.71,,powerplay,,17.0,18.0,0.138,Uttar Pradesh,2021,3.0,3.0,3,3,3,top_order,middle_order,False,29.278586096203167
Manik Gupta,9,1,8,1,0,0,9.0,9,9,1.0,0,0.0,0.0,0,0,0.0,0.0,112.5,0.125,0.0,0.125,0.444,0.25,0,0,9,0,2,6,0.0,0.0,1.0,,0.0,150.0,death,,9.0,8.0,0.096,Jammu & Kashmir,2017,10.0,10.0,9,11,9,tailender,tailender,False,68.94955706008801
Manisankar Murasingh,535,32,373,32,31,24,16.72,61,0,0.25,2,0.062,13.88,4,2,0.125,0.062,143.43,0.169,0.083,0.086,0.587,0.29,35,226,274,24,213,136,0.065,0.422,0.512,145.83,106.1,201.47,death,14.89,17.43,11.66,1.0,Tripura,2023,5.84375,6.0,3,9,6,middle_order,finisher,True,54.85093946530378
Manish Dogra,1,1,3,0,0,1,1.0,1,1,0.0,0,0.0,0.0,0,0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.667,0,1,0,0,3,0,0.0,1.0,0.0,,33.33,,middle,,1.0,3.0,0.075,Jammu & Kashmir,2015,5.0,5.0,5,5,5,middle_order,middle_order,False,18.41881586944871
Manish Golamaru,30,5,37,2,1,5,6.0,14,0,0.0,1,0.2,5.96,0,0,0.0,0.0,81.08,0.081,0.027,0.054,0.467,0.486,5,15,10,7,17,13,0.167,0.5,0.333,71.43,88.24,76.92,middle,7.5,5.0,7.4,0.467,Andhra,2022,6.4,7.0,3,9,7,lower_order,tailender,True,17.426008808017315
Manjeet Singh,9,2,6,2,0,2,4.5,9,0,0.0,1,0.5,6.36,0,0,0.0,0.0,150.0,0.333,0.0,0.333,0.889,0.5,0,0,9,0,0,6,0.0,0.0,1.0,,,150.0,death,,4.5,3.0,0.15,Railways,2018,9.5,9.5,9,10,9,tailender,tailender,False,52.90873801691451
Manjinder Singh,27,2,42,2,0,2,13.5,14,13,0.0,0,0.0,0.71,0,0,0.0,0.0,64.29,0.048,0.0,0.048,0.296,0.5,7,18,2,10,28,4,0.259,0.667,0.074,70.0,64.29,50.0,powerplay,,13.5,21.0,0.3,Nagaland,2018,5.0,5.0,5,5,5,middle_order,middle_order,False,15.202261085861785
Manjot Kalra,13,2,14,0,2,2,6.5,13,0,0.0,1,0.5,9.19,0,0,0.0,0.0,92.86,0.143,0.143,0.0,0.923,0.786,13,0,0,14,0,0,1.0,0.0,0.0,92.86,,,powerplay,0.0,13.0,7.0,0.183,Delhi,2018,1.0,1.0,1,1,1,opener,anchor_opener,False,25.739050733194173
Manogaran Pooviarasan,0,1,1,0,0,1,0.0,0,0,0.0,1,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0,0,0,0,1,0,,,,,0.0,,unknown,,0.0,1.0,0.067,Puducherry,2021,9.0,9.0,9,9,9,tailender,tailender,False,20.13556115487721
Manoj Singh,79,4,60,7,1,4,19.75,35,2,0.0,0,0.0,13.55,1,0,0.25,0.0,131.67,0.133,0.017,0.117,0.43,0.233,7,52,20,7,37,16,0.089,0.658,0.253,100.0,140.54,125.0,middle,21.0,19.33,15.0,0.5,Chhattisgarh,2017,6.0,6.0,5,7,6,middle_order,middle_order,True,69.58748640242064
Manvan Patel,10,4,7,0,1,4,2.5,8,0,0.0,2,0.5,3.79,0,0,0.0,0.0,142.86,0.143,0.143,0.0,0.6,0.571,0,0,10,0,0,7,0.0,0.0,1.0,,,142.86,death,,2.5,1.75,0.279,Arunachal Pradesh,2021,9.5,9.5,8,11,8,lower_order,tailender,True,61.181470204437225
Manzoor Dar,146,11,120,11,7,9,13.27,39,1,0.182,0,0.0,16.06,3,0,0.273,0.0,121.67,0.15,0.058,0.092,0.589,0.408,11,75,60,8,74,38,0.075,0.514,0.411,137.5,101.35,157.89,death,15.25,12.14,10.91,1.0,Jammu & Kashmir,2019,5.181818181818182,5.0,3,7,7,lower_order,tailender,True,55.22322343016648
Marimuthu Vikneshwaran,161,21,175,12,5,16,7.67,34,0,0.238,2,0.095,7.51,1,0,0.048,0.0,92.0,0.097,0.029,0.069,0.484,0.486,25,57,79,29,71,75,0.155,0.354,0.491,86.21,80.28,105.33,death,7.83,7.6,8.33,1.0,Puducherry,2022,5.666666666666667,6.0,1,8,5,middle_order,middle_order,True,32.24652017424398
Mark Ingty,58,3,42,2,3,2,19.33,39,7,0.333,0,0.0,17.21,1,0,0.333,0.0,138.1,0.119,0.071,0.048,0.448,0.238,0,19,39,0,17,25,0.0,0.328,0.672,,111.76,156.0,death,7.0,25.5,14.0,0.362,Meghalaya,2019,6.333333333333333,6.0,6,7,6,middle_order,finisher,True,72.00287699726192
Mayank Dagar,53,11,72,3,1,9,4.82,21,0,0.182,2,0.182,6.26,0,0,0.0,0.0,73.61,0.056,0.014,0.042,0.34,0.528,0,6,47,0,16,56,0.0,0.113,0.887,,37.5,83.93,death,8.0,4.11,6.55,0.8,Himachal,2022,9.333333333333334,9.0,8,10,9,tailender,tailender,True,9.00827152835426
Mayank Mishra,34,9,54,2,1,7,3.78,14,0,0.222,3,0.333,5.38,0,0,0.0,0.0,62.96,0.056,0.019,0.037,0.412,0.574,0,6,28,0,9,45,0.0,0.176,0.824,,66.67,62.22,middle,,3.78,6.0,0.725,Uttarakhand,2022,8.444444444444445,8.0,8,9,8,lower_order,tailender,True,0.8937563706155621
Mayank Raghav,301,6,210,33,14,5,50.17,103,4,0.167,0,0.0,38.63,4,3,0.667,0.5,143.33,0.224,0.067,0.157,0.718,0.386,152,129,20,108,85,17,0.505,0.429,0.066,140.74,151.76,117.65,middle,80.0,44.2,35.0,0.875,Manipur,2018,1.0,1.0,1,1,1,opener,aggressive_opener,True,91.8965760191881
Mayank Rawat,24,1,21,1,1,1,24.0,24,24,0.0,0,0.0,0.0,0,0,0.0,0.0,114.29,0.095,0.048,0.048,0.417,0.286,0,18,6,0,12,9,0.0,0.75,0.25,,150.0,66.67,middle,,24.0,21.0,0.15,Delhi,2024,6.0,6.0,6,6,6,middle_order,middle_order,False,53.29870893530795
Mayank Sidhana,39,5,41,5,0,3,7.8,21,0,0.4,1,0.2,8.47,0,0,0.0,0.0,95.12,0.122,0.0,0.122,0.513,0.439,1,28,10,3,32,6,0.026,0.718,0.256,33.33,87.5,166.67,death,8.0,7.67,8.2,0.483,Punjab,2015,4.6,5.0,4,5,5,middle_order,middle_order,True,44.4859090372541
Md Nazim,2,1,3,0,0,1,2.0,2,2,0.0,0,0.0,0.0,0,0,0.0,0.0,66.67,0.0,0.0,0.0,0.0,0.333,0,0,2,0,0,3,0.0,0.0,1.0,,,66.67,death,,2.0,3.0,0.075,Uttarakhand,2021,8.0,8.0,8,8,8,lower_order,tailender,False,10.453189167110095
Md Saptula,4,3,8,0,0,1,1.33,3,0,0.667,1,0.333,1.53,0,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.625,0,0,4,0,1,7,0.0,0.0,1.0,,0.0,57.14,death,,1.33,2.67,0.221,Sikkim,2021,10.333333333333334,11.0,9,11,11,tailender,tailender,True,0.6054601218821808
Mehdi Hassan,21,8,29,0,0,2,2.62,8,0,0.75,1,0.125,2.67,0,0,0.0,0.0,72.41,0.0,0.0,0.0,0.0,0.345,0,0,21,0,0,29,0.0,0.0,1.0,,,72.41,death,,2.62,3.62,0.621,Hyderabad (India),2021,9.375,9.0,8,11,9,tailender,tailender,True,10.169013492614349
Mickil Jaiswal,63,3,38,3,5,2,21.0,44,2,0.333,0,0.0,21.28,1,0,0.333,0.0,165.79,0.211,0.132,0.079,0.667,0.289,0,9,54,1,14,23,0.0,0.143,0.857,0.0,64.29,234.78,death,30.5,2.0,12.67,0.346,Hyderabad (India),2022,5.666666666666667,6.0,5,6,6,middle_order,finisher,True,64.40330337232142
Mihir Hirwani,24,7,29,1,1,6,3.43,8,1,0.143,0,0.0,2.37,0,0,0.0,0.0,82.76,0.069,0.034,0.034,0.417,0.448,0,2,22,0,2,27,0.0,0.083,0.917,,100.0,81.48,middle,2.5,3.8,4.14,0.558,Madhya Pradesh,2021,9.125,9.5,8,10,10,tailender,tailender,True,3.1761866601784594
Milind Kumar,681,26,578,62,17,20,26.19,64,0,0.231,1,0.038,20.04,9,5,0.346,0.192,117.82,0.137,0.029,0.107,0.514,0.355,75,374,232,79,345,154,0.11,0.549,0.341,94.94,108.41,150.65,death,26.75,25.94,22.23,1.0,Tripura,2020,4.615384615384615,4.5,2,6,6,middle_order,finisher,True,72.57483755446891
Mitesh Patel,152,8,133,17,2,7,19.0,60,0,0.125,1,0.125,20.76,2,1,0.25,0.125,114.29,0.143,0.015,0.128,0.526,0.383,79,70,3,75,51,7,0.52,0.461,0.02,105.33,137.25,42.86,middle,15.67,21.0,16.62,1.0,Baroda,2022,3.5,2.0,2,9,2,opener,anchor_opener,True,41.92302549836189
Moakumzuk Tzudir,1,3,3,0,0,2,0.33,1,0,0.333,2,0.667,0.58,0,0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.667,0,0,1,0,0,3,0.0,0.0,1.0,,,33.33,death,,0.33,1.0,0.2,Nagaland,2023,10.0,11.0,8,11,11,tailender,tailender,True,0.7593967178085519
Mohammad Saif,53,5,68,5,0,5,10.6,32,0,0.0,3,0.6,15.03,1,0,0.2,0.0,77.94,0.074,0.0,0.074,0.377,0.515,23,30,0,33,35,0,0.434,0.566,0.0,69.7,85.71,,middle,26.5,0.0,13.6,0.596,Railways,2023,3.2,3.0,3,4,3,top_order,middle_order,True,26.22090856338965
Mohammed Azharuddeen,436,27,384,35,18,27,16.15,60,0,0.0,3,0.111,14.98,5,1,0.185,0.037,113.54,0.138,0.047,0.091,0.569,0.43,198,138,100,198,111,75,0.454,0.317,0.229,100.0,124.32,133.33,death,21.07,10.0,14.22,1.0,Kerala,2022,3.259259259259259,2.0,1,7,2,opener,anchor_opener,True,59.22728565831713
Mohammed Mudhasir,19,7,24,1,1,7,2.71,7,0,0.0,3,0.429,3.15,0,0,0.0,0.0,79.17,0.083,0.042,0.042,0.526,0.583,0,0,19,0,3,21,0.0,0.0,1.0,,0.0,90.48,death,,2.71,3.43,0.538,Jammu & Kashmir,2017,9.428571428571429,10.0,6,11,10,tailender,tailender,True,1.9620018073438965
Mohammed Shami,36,3,22,4,2,2,12.0,32,0,0.333,1,0.333,17.44,1,0,0.333,0.0,163.64,0.273,0.091,0.182,0.778,0.409,0,4,32,0,3,19,0.0,0.111,0.889,,133.33,168.42,death,32.0,2.0,7.33,0.279,Bengal,2024,9.0,9.0,8,10,8,lower_order,tailender,True,59.0331940625645
Mohammed Siraj,16,6,27,2,0,5,2.67,12,0,0.167,3,0.5,4.68,0,0,0.0,0.0,59.26,0.074,0.0,0.074,0.5,0.667,0,0,16,0,0,27,0.0,0.0,1.0,,,59.26,death,,2.67,4.5,0.488,Hyderabad (India),2019,10.166666666666666,10.0,10,11,10,tailender,tailender,True,0.3692634124257989
Mohammed Taha,86,4,77,10,3,4,21.5,45,0,0.0,1,0.25,22.81,2,0,0.5,0.0,111.69,0.169,0.039,0.13,0.674,0.468,40,46,0,36,41,0,0.465,0.535,0.0,111.11,112.2,,middle,37.0,16.33,19.25,0.571,Karnataka,2015,1.0,1.0,1,1,1,opener,anchor_opener,True,64.43917156462462
Mohd Israr,0,1,2,0,0,1,0.0,0,0,0.0,1,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0,0,0,0,0,2,,,,,,0.0,unknown,,0.0,2.0,0.071,Uttar Pradesh,2017,9.0,9.0,9,9,9,tailender,tailender,False,4.575844000733318
Mohit Ahlawat,27,6,26,2,1,5,4.5,19,0,0.167,3,0.5,7.4,0,0,0.0,0.0,103.85,0.115,0.038,0.077,0.519,0.5,0,3,24,1,9,16,0.0,0.111,0.889,0.0,33.33,150.0,death,6.33,2.67,4.33,0.483,Services,2021,5.166666666666667,5.5,3,6,6,middle_order,middle_order,True,58.16200317215565
Mohit Jangra,39,4,36,4,1,3,9.75,16,1,0.25,0,0.0,6.5,0,0,0.0,0.0,108.33,0.139,0.028,0.111,0.564,0.472,0,37,2,0,33,3,0.0,0.949,0.051,,112.12,66.67,middle,,9.75,9.0,0.4,Mizoram,2023,7.0,6.5,4,11,4,top_order,middle_order,True,44.80266835650286
Mohit Kumar,18,5,10,1,2,3,3.6,12,0,0.4,1,0.2,4.93,0,0,0.0,0.0,180.0,0.3,0.2,0.1,0.889,0.5,0,0,18,0,0,10,0.0,0.0,1.0,,,180.0,death,8.0,0.67,2.0,0.354,Services,2020,8.2,8.0,8,9,8,lower_order,tailender,True,51.6223201711686
Mohit Mittan,54,3,48,4,2,3,18.0,28,1,0.0,0,0.0,14.8,0,0,0.0,0.0,112.5,0.125,0.042,0.083,0.519,0.333,1,35,18,5,33,10,0.019,0.648,0.333,20.0,106.06,180.0,death,,18.0,16.0,0.388,Puducherry,2022,5.333333333333333,5.0,5,6,5,middle_order,middle_order,True,46.54744169554595
Mohit Mongia,29,3,25,3,1,3,9.67,13,7,0.0,0,0.0,3.06,0,0,0.0,0.0,116.0,0.16,0.04,0.12,0.621,0.44,16,0,13,15,0,10,0.552,0.0,0.448,106.67,,130.0,death,7.0,11.0,8.33,0.292,Baroda,2018,3.3333333333333335,2.0,2,6,2,opener,anchor_opener,True,51.47940091958887
Mohsin Khan,70,10,51,5,3,6,7.0,19,0,0.4,0,0.0,7.38,0,0,0.0,0.0,137.25,0.157,0.059,0.098,0.543,0.314,0,18,52,0,15,36,0.0,0.257,0.743,,120.0,144.44,death,3.0,8.0,5.1,0.712,Uttar Pradesh,2024,8.8,9.0,7,10,10,tailender,tailender,True,85.16699616000464
Monu Kumar,37,7,24,2,3,4,5.29,16,0,0.429,0,0.0,5.19,0,0,0.0,0.0,154.17,0.208,0.125,0.083,0.703,0.5,0,0,37,0,1,23,0.0,0.0,1.0,,0.0,160.87,death,,5.29,3.43,0.538,Jharkhand,2021,9.11111111111111,9.0,8,11,8,lower_order,tailender,True,63.02143431059947
Mrinmoy Dutta,6,3,12,1,0,2,2.0,6,0,0.333,1,0.333,3.46,0,0,0.0,0.0,50.0,0.083,0.0,0.083,0.667,0.75,0,0,6,0,2,10,0.0,0.0,1.0,,0.0,60.0,death,,2.0,4.0,0.238,Assam,2023,10.5,10.5,10,11,10,tailender,tailender,True,0.6537976463303505
Mrunal Devdhar,766,34,622,86,20,33,22.53,82,0,0.029,3,0.088,22.82,10,6,0.294,0.176,123.15,0.17,0.032,0.138,0.606,0.394,541,212,13,415,194,13,0.706,0.277,0.017,130.36,109.28,100.0,powerplay,32.89,9.4,18.29,1.0,Railways,2021,1.2647058823529411,1.0,1,2,1,opener,aggressive_opener,True,32.22115567047963
Mughavi Wotsa,25,3,48,3,0,2,8.33,17,2,0.333,0,0.0,7.77,0,0,0.0,0.0,52.08,0.062,0.0,0.062,0.48,0.688,14,5,6,23,13,12,0.56,0.2,0.24,60.87,38.46,50.0,powerplay,,8.33,16.0,0.388,Nagaland,2019,6.666666666666667,8.0,2,10,2,opener,anchor_opener,True,10.902179698495882
Mujtaba Yousuf,0,1,1,0,0,0,0.0,0,0,1.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0,0,0,0,1,0,,,,,0.0,,unknown,,0.0,1.0,0.067,Jammu & Kashmir,2018,10.0,10.0,10,10,10,tailender,tailender,False,20.13556115487721
Mukesh Choudhary,17,3,13,3,0,1,5.67,11,0,0.667,0,0.0,5.51,0,0,0.0,0.0,130.77,0.231,0.0,0.231,0.706,0.385,0,0,17,0,0,13,0.0,0.0,1.0,,,130.77,death,,5.67,4.33,0.242,Maharashtra,2020,10.0,10.0,10,10,10,tailender,tailender,True,81.64042145139129
Mukesh Kumar,4,4,8,0,0,1,1.0,2,0,0.75,0,0.0,0.82,0,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.625,0,0,4,0,0,8,0.0,0.0,1.0,,,50.0,death,,1.0,2.0,0.283,Bengal,2020,10.5,10.5,10,11,10,tailender,tailender,True,0.7593967178085519
Mukhtar Hussain,54,5,29,3,5,2,10.8,25,1,0.6,0,0.0,8.76,0,0,0.0,0.0,186.21,0.276,0.172,0.103,0.778,0.31,0,1,53,0,1,28,0.0,0.019,0.981,,100.0,189.29,death,,10.8,5.8,0.433,Assam,2023,9.5,9.5,8,11,9,tailender,tailender,True,51.281399339923084
Myendung Singpho,6,6,12,0,0,4,1.0,2,0,0.333,1,0.167,0.63,0,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.5,4,1,1,7,3,2,0.667,0.167,0.167,57.14,33.33,50.0,powerplay,,1.0,2.0,0.425,Arunachal Pradesh,2021,7.285714285714286,8.0,3,10,6,middle_order,middle_order,True,3.1816844984683277
N A Sharma,211,15,171,15,9,14,14.07,76,0,0.067,3,0.2,19.83,2,1,0.133,0.067,123.39,0.14,0.053,0.088,0.54,0.345,18,131,62,20,99,52,0.085,0.621,0.294,90.0,132.32,119.23,middle,15.75,12.14,11.4,1.0,Himachal,2022,6.0,7.0,3,8,7,lower_order,tailender,True,62.07409014578874
N Jagadeesan,795,32,664,65,29,22,24.84,78,0,0.312,2,0.062,23.12,9,5,0.281,0.156,119.73,0.142,0.044,0.098,0.546,0.37,244,379,172,248,300,116,0.307,0.477,0.216,98.39,126.33,148.28,death,30.0,11.67,20.75,1.0,Tamil Nadu,2023,3.5,2.0,1,7,2,opener,anchor_opener,True,72.75729045107761
N Joshi,0,1,4,0,0,1,0.0,0,0,0.0,1,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0,0,0,0,0,4,,,,,,0.0,unknown,,0.0,4.0,0.079,Arunachal Pradesh,2023,9.0,9.0,9,9,9,tailender,tailender,False,4.575844000733318
N Kushwah,0,2,5,0,0,2,0.0,0,0,0.0,2,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0,0,0,2,3,0,,,,0.0,0.0,,unknown,,0.0,2.5,0.146,Railways,2023,4.5,4.5,3,6,3,top_order,middle_order,False,19.254387559767864
N Rana,1376,46,957,123,75,39,29.91,107,0,0.152,3,0.065,26.06,20,10,0.435,0.217,143.78,0.207,0.078,0.129,0.685,0.378,193,961,222,186,659,112,0.14,0.698,0.161,103.76,145.83,198.21,death,36.0,19.53,20.8,1.0,Delhi,2024,4.086956521739131,4.0,3,5,4,top_order,top_order_anchor,True,92.60499955432442
N Saini,255,9,223,28,3,7,28.33,74,0,0.222,1,0.111,23.34,3,2,0.333,0.222,114.35,0.139,0.013,0.126,0.51,0.377,100,132,23,88,120,15,0.392,0.518,0.09,113.64,110.0,153.33,death,47.0,19.0,24.78,1.0,Haryana,2018,2.6666666666666665,4.0,1,4,4,top_order,top_order_anchor,True,75.17983735869358
N Sindhu,108,4,85,6,5,3,27.0,42,18,0.25,0,0.0,11.49,2,0,0.5,0.0,127.06,0.129,0.059,0.071,0.5,0.329,0,68,40,0,56,29,0.0,0.63,0.37,,121.43,137.93,death,18.0,30.0,21.25,0.604,Haryana,2023,4.5,4.5,4,5,4,top_order,top_order_anchor,True,80.44585176071566
N Wadhera,128,4,79,10,7,2,32.0,61,2,0.5,0,0.0,28.88,2,2,0.5,0.5,162.03,0.215,0.089,0.127,0.641,0.291,7,77,44,7,47,25,0.055,0.602,0.344,100.0,163.83,176.0,death,32.0,,19.75,0.579,Punjab,2023,4.75,5.0,3,6,5,middle_order,finisher,True,87.80041437973473
NA Rathva,276,18,225,34,6,16,15.33,47,0,0.111,2,0.111,13.8,3,0,0.167,0.0,122.67,0.178,0.027,0.151,0.623,0.4,116,100,60,74,106,45,0.42,0.362,0.217,156.76,94.34,133.33,powerplay,16.1,14.38,12.5,1.0,Baroda,2023,4.666666666666667,5.0,2,8,2,opener,aggressive_opener,True,51.46442839023221
NB Singh,1,2,3,0,0,0,0.5,1,0,1.0,0,0.0,0.71,0,0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.667,0,0,1,0,0,3,0.0,0.0,1.0,,,33.33,death,,0.5,1.5,0.138,Rajasthan,2015,10.666666666666666,11.0,10,11,11,tailender,tailender,False,0.7593967178085519
NK Singh,26,3,33,2,0,2,8.67,20,1,0.333,0,0.0,10.02,0,0,0.0,0.0,78.79,0.061,0.0,0.061,0.308,0.424,9,11,6,14,12,7,0.346,0.423,0.231,64.29,91.67,85.71,middle,12.5,1.0,11.0,0.325,Services,2020,5.0,6.0,2,7,2,opener,anchor_opener,True,25.803763702919287
NN Bhute,10,2,8,2,0,2,5.0,10,0,0.0,1,0.5,7.07,0,0,0.0,0.0,125.0,0.25,0.0,0.25,0.8,0.5,0,0,10,0,0,8,0.0,0.0,1.0,,,125.0,death,,5.0,4.0,0.158,Vidarbha,2020,9.0,9.0,9,9,9,tailender,tailender,False,68.20786267652545
NN Sen,65,7,59,7,0,6,9.29,16,0,0.143,1,0.143,5.15,0,0,0.0,0.0,110.17,0.119,0.0,0.119,0.431,0.322,0,30,35,0,32,27,0.0,0.462,0.538,,93.75,129.63,death,12.0,8.2,8.43,0.683,Tripura,2018,7.857142857142857,8.0,6,10,7,lower_order,tailender,True,80.82681464529723
NN Sen Chowdhary,170,12,190,15,0,12,14.17,34,0,0.0,1,0.083,10.77,1,0,0.083,0.0,89.47,0.079,0.0,0.079,0.353,0.426,50,108,12,55,121,14,0.294,0.635,0.071,90.91,89.26,85.71,powerplay,18.0,12.25,15.83,1.0,Tripura,2023,3.8333333333333335,3.5,1,8,3,top_order,middle_order,True,30.811031461231625
NR Narah,16,3,14,3,0,2,5.33,12,0,0.333,1,0.333,6.11,0,0,0.0,0.0,114.29,0.214,0.0,0.214,0.75,0.5,12,0,4,9,2,3,0.75,0.0,0.25,133.33,0.0,133.33,powerplay,8.0,0.0,4.67,0.246,Assam,2022,3.6666666666666665,5.0,1,5,5,middle_order,middle_order,True,34.681290811921755
