player,team,season_start_year,batting_strength_score,bowling_strength_score,allrounder_index,is_batting_allrounder,is_bowling_allrounder,allrounder_role,total_runs,total_matches,total_balls_faced,avg_runs,strike_rate,batting_role,total_wickets,total_matches_bowled,total_balls_bowled,avg_wickets_per_match,economy_rate,bowling_role
A Ashish Reddy,Sunrisers Hyderabad,2016.0,57.65,75.39,66.52,False,True,bowling_allrounder,280.0,23.0,193.0,12.17,145.08,tailender,18.0,20.0,262.0,0.9,9.16,death_bowler
A Badoni,Lucknow Super Giants,2026.0,64.17,62.28,63.22,False,False,pure_batter,1076.0,51.0,776.0,21.1,138.66,finisher,4.0,7.0,35.0,0.571,8.57,part_time_bowler
A Chandila,Rajasthan Royals,2013.0,20.7,80.58,50.64,False,False,pure_bowler,4.0,2.0,7.0,2.0,57.14,tailender,11.0,12.0,234.0,0.917,6.28,powerplay_bowler
A Chopra,Kolkata Knight Riders,2009.0,29.22,0.0,14.61,False,False,pure_batter,53.0,6.0,71.0,8.83,74.65,anchor_opener,,,,,,
A Choudhary,Royal Challengers Bangalore,2017.0,46.67,81.98,64.32,False,False,pure_bowler,25.0,3.0,20.0,8.33,125.0,tailender,5.0,5.0,101.0,1.0,8.55,powerplay_bowler
A Dananjaya,Mumbai Indians,2018.0,29.4,41.55,35.47,False,False,pure_batter,4.0,1.0,5.0,4.0,80.0,tailender,0.0,1.0,24.0,0.0,11.75,part_time_bowler
A Flintoff,Chennai Super Kings,2009.0,48.18,67.06,57.62,False,False,pure_bowler,62.0,3.0,53.0,20.67,116.98,middle_order,2.0,3.0,66.0,0.667,9.64,death_bowler
A Kamboj,Chennai Super Kings,2026.0,42.67,89.67,66.17,False,False,pure_bowler,42.0,8.0,36.0,5.25,116.67,tailender,20.0,16.0,301.0,1.25,9.51,powerplay_bowler
A Kumble,Royal Challengers Bangalore,2009.0,26.88,84.48,55.68,False,False,pure_bowler,35.0,15.0,47.0,2.33,74.47,tailender,45.0,42.0,965.0,1.071,6.77,middle_overs_bowler
A Manohar,Gujarat Titans,2025.0,54.6,0.0,27.3,False,False,pure_batter,292.0,20.0,235.0,14.6,124.26,tailender,,,,,,
A Mhatre,Chennai Super Kings,2026.0,95.37,0.0,47.68,False,False,pure_batter,411.0,12.0,227.0,34.25,181.06,top_order_anchor,,,,,,
A Mishra,Delhi Daredevils,2023.0,35.21,83.41,59.31,False,True,bowling_allrounder,381.0,57.0,419.0,6.68,90.93,tailender,174.0,162.0,3371.0,1.074,7.46,middle_overs_bowler
A Mithun,Royal Challengers Bangalore,2013.0,47.75,59.15,53.45,False,False,pure_bowler,34.0,6.0,26.0,5.67,130.77,tailender,7.0,16.0,288.0,0.438,9.94,middle_overs_bowler
A Mukund,Chennai Super Kings,2013.0,33.55,0.0,16.77,False,False,pure_batter,19.0,2.0,22.0,9.5,86.36,anchor_opener,,,,,,
A Nehra,Delhi Daredevils,2016.0,23.99,89.43,56.71,False,False,pure_bowler,41.0,17.0,62.0,2.41,66.13,tailender,106.0,88.0,1908.0,1.205,7.98,powerplay_bowler
A Nel,Mumbai Indians,2007.0,0.0,80.59,40.3,False,False,pure_bowler,0.0,1.0,0.0,0.0,,tailender,1.0,1.0,18.0,1.0,10.33,part_time_bowler
A Nortje,Delhi Capitals,2026.0,35.52,89.27,62.4,False,False,pure_bowler,49.0,14.0,50.0,3.5,98.0,tailender,61.0,49.0,1120.0,1.245,9.32,death_bowler
A Raghuvanshi,Kolkata Knight Riders,2026.0,75.81,0.0,37.9,False,False,pure_batter,645.0,23.0,437.0,28.04,147.6,top_order_anchor,,,,,,
A Singh,Rajasthan Royals,2012.0,7.14,89.35,48.24,False,False,pure_bowler,2.0,5.0,10.0,0.4,20.0,tailender,28.0,23.0,473.0,1.217,8.11,death_bowler
A Symonds,Deccan Chargers,2011.0,66.6,69.21,67.9,True,True,batting_allrounder,974.0,36.0,750.0,27.06,129.87,top_order_anchor,20.0,30.0,527.0,0.667,7.9,middle_overs_bowler
A Tomar,Kolkata Knight Riders,2022.0,18.9,0.0,9.45,False,False,pure_batter,4.0,1.0,8.0,4.0,50.0,anchor_opener,,,,,,
A Uniyal,Rajasthan Royals,2009.0,20.7,76.08,48.39,False,False,pure_bowler,4.0,2.0,7.0,2.0,57.14,tailender,2.0,2.0,36.0,1.0,11.17,part_time_bowler
A Zampa,Rajasthan Royals,2023.0,22.92,93.39,58.16,False,False,pure_bowler,15.0,5.0,24.0,3.0,62.5,tailender,31.0,22.0,467.0,1.409,8.43,middle_overs_bowler
AA Bilakhia,Deccan Chargers,2009.0,31.86,0.0,15.93,False,False,pure_batter,69.0,7.0,85.0,9.86,81.18,middle_order,,,,,,
AA Chavan,Rajasthan Royals,2012.0,39.58,68.32,53.95,False,False,pure_bowler,12.0,3.0,11.0,4.0,109.09,tailender,8.0,13.0,248.0,0.615,8.2,powerplay_bowler
AA Jhunjhunwala,Rajasthan Royals,2012.0,45.22,47.78,46.5,False,False,pure_bowler,217.0,15.0,210.0,14.47,103.33,middle_order,1.0,10.0,85.0,0.1,9.18,powerplay_bowler
AA Kazi,Royal Challengers Bangalore,2011.0,0.0,39.98,19.99,False,False,unknown,,,,,,,0.0,1.0,12.0,0.0,10.5,part_time_bowler
AA Kulkarni,Lucknow Super Giants,2024.0,40.95,0.0,20.48,False,False,pure_batter,9.0,2.0,8.0,4.5,112.5,anchor_opener,,,,,,
AA Noffke,Royal Challengers Bangalore,2007.0,34.65,77.15,55.9,False,False,pure_bowler,9.0,1.0,10.0,9.0,90.0,tailender,1.0,1.0,24.0,1.0,10.25,part_time_bowler
AB Agarkar,Kolkata Knight Riders,2013.0,45.57,68.67,57.12,False,True,bowling_allrounder,179.0,19.0,154.0,9.42,116.23,tailender,29.0,42.0,782.0,0.69,9.01,middle_overs_bowler
AB Barath,Kings XI Punjab,2009.0,49.89,0.0,24.94,False,False,pure_batter,42.0,3.0,42.0,14.0,100.0,anchor_opener,,,,,,
AB Dinda,Pune Warriors,2017.0,19.53,79.22,49.38,False,False,pure_bowler,26.0,16.0,48.0,1.62,54.17,tailender,69.0,75.0,1516.0,0.92,8.32,powerplay_bowler
AB McDonald,Delhi Daredevils,2013.0,54.49,81.83,68.16,False,False,utility_player,123.0,9.0,100.0,13.67,123.0,middle_order,11.0,10.0,186.0,1.1,8.48,middle_overs_bowler
AB de Villiers,Royal Challengers Bangalore,2021.0,75.47,0.0,37.74,False,False,pure_batter,5181.0,170.0,3411.0,30.48,151.89,top_order_anchor,,,,,,
AC Blizzard,Mumbai Indians,2012.0,61.24,0.0,30.62,False,False,pure_batter,120.0,7.0,90.0,17.14,133.33,aggressive_opener,,,,,,
